id,serial,relate,sex,age,birth_pl,nchild,eldch,marst,fams
134,6329326,2,2,39,Germany,3,9,Married,5
135,6383494,3,2,11,US,0,99,Single,13
136,6235793,3,2,15,US,0,99,Single,5
137,6269596,2,2,39,US,1,19,Married,3
138,6207736,2,2,46,Ireland,0,99,Married,2
139,6366117,1,1,25,US,0,99,Married,2
140,6422177,1,2,30,Germany,0,99,Married,1
141,6338548,1,2,70,Ireland,2,40,Divorced/widowed,3
142,6381694,3,2,9,US,0,99,Single,4
143,6311315,12,1,60,US,0,99,Single,1
144,6383237,7,1,35,US,0,99,Single,14
145,6441510,3,2,4,US,0,99,Single,4
146,6285299,3,1,10,US,0,99,Single,6
147,6348250,6,2,63,US,1,35,Divorced/widowed,9
148,6390221,1,1,42,Ireland,4,8,Married,6
149,6262510,3,2,7,US,0,99,Single,5
150,6446491,3,1,29,US,0,99,Single,7
151,6301602,3,2,1,US,0,99,Single,5
152,6378418,2,2,29,US,3,6,Married,5
153,6297908,3,2,0,US,0,99,Single,3
154,6214511,3,2,4,US,0,99,Single,5
155,6276642,2,2,24,Others,1,1,Married,3
156,6214389,7,1,25,US,0,99,Single,7
157,6388713,3,2,3,US,0,99,Single,8
158,6334075,1,1,40,Ireland,1,21,Married,3
159,6430741,3,2,23,US,0,99,Single,9
160,6393562,12,2,39,Ireland,0,99,Single,1
161,6439554,1,2,0,US,0,99,Single,1
162,6473780,12,2,20,US,0,99,Single,1
163,6215601,3,1,6,US,0,99,Single,7
164,6346108,1,1,28,US,2,2,Married,4
165,6337098,1,1,44,Germany,6,11,Married,8
166,6386496,3,2,3,US,0,99,Single,4
167,6451461,3,2,7,US,0,99,Single,6
168,6355077,1,1,24,US,1,1,Married,3
169,6221682,3,1,15,Italy,0,99,Single,4
170,6374695,1,1,39,Others,2,15,Married,4
171,6209916,3,2,16,Others,0,99,Single,12
172,6392061,3,2,0,US,0,99,Single,5
173,6350085,3,2,11,US,0,99,Single,5
174,6257130,3,1,5,US,0,99,Single,8
175,6412187,3,1,12,US,0,99,Single,6
176,6325152,12,1,24,Germany,0,99,Single,1
177,6405200,3,2,1,US,0,99,Single,9
178,6261968,2,2,65,Ireland,4,35,Married,6
179,6451957,2,2,35,Ireland,5,13,Married,8
180,6296844,3,1,1,US,0,99,Single,9
181,6474220,7,1,24,US,0,99,Single,7
182,6232319,1,1,40,Ireland,2,14,Married,4
183,6311208,2,2,37,US,2,16,Married,4
184,6334145,3,1,30,UK,0,99,Single,6
185,6289741,3,2,25,US,0,99,Single,10
186,6406871,13,1,8,US,0,99,Single,1
187,6207250,12,1,66,UK,0,99,Married,1
188,6461887,1,2,28,US,1,8,Married,3
189,6204189,2,2,42,US,0,99,Married,2
190,6355462,8,2,28,Ireland,0,99,Single,4
191,6240074,12,1,15,US,0,99,Single,1
192,6252847,10,2,17,US,0,99,Single,6
193,6412709,3,2,20,US,0,99,Single,6
194,6476812,12,1,27,Ireland,0,99,Single,1
195,6332114,3,1,13,US,0,99,Single,8
196,6400615,3,1,10,US,0,99,Single,7
197,6286007,1,1,35,Germany,0,99,Married,2
198,6264508,11,2,28,UK,1,1,Married,3
199,6372522,3,2,4,US,0,99,Single,4
200,6389580,3,1,20,US,0,99,Single,13
201,6413707,3,1,1,US,0,99,Single,3
202,6234703,2,2,31,Others,5,16,Married,9
203,6385661,3,1,14,US,0,99,Single,5
204,6272067,12,1,19,Germany,0,99,Married,1
205,6240907,1,1,47,Others,5,24,Married,7
206,6213258,12,1,26,US,0,99,Single,1
207,6217085,3,2,3,US,0,99,Single,4
208,6264440,3,2,22,Ireland,0,99,Single,12
209,6374823,3,2,9,US,0,99,Single,10
210,6339162,1,1,41,Ireland,3,12,Married,5
211,6231520,13,2,5,US,0,99,Single,1
212,6310283,7,2,25,US,0,99,Single,3
213,6207684,3,2,8,US,0,99,Single,5
214,6283157,3,2,18,US,0,99,Single,3
215,6298862,1,1,28,US,1,1,Married,5
216,6414170,3,2,14,US,0,99,Single,4
217,6342048,3,1,12,US,0,99,Single,6
218,6215163,12,1,39,Ireland,0,99,Single,1
219,6455669,8,2,18,US,0,99,Single,6
220,6463200,1,1,26,Germany,1,1,Married,3
221,6412989,3,2,17,US,0,99,Single,7
222,6367892,3,2,4,US,0,99,Single,6
223,6362263,1,1,40,Germany,2,13,Married,4
224,6250954,3,1,5,US,0,99,Single,5
225,6228508,12,1,20,US,0,99,Single,1
226,6204886,1,1,45,Ireland,3,13,Married,5
227,6442850,3,1,2,US,0,99,Single,4
228,6429450,3,1,29,US,0,99,Single,6
229,6243129,3,2,3,US,0,99,Single,5
230,6253019,3,1,7,US,0,99,Single,6
231,6455854,3,2,3,US,0,99,Single,7
232,6248065,10,2,0,US,0,99,Single,6
233,6233697,3,2,37,Ireland,0,99,Single,4
234,6233688,1,1,36,UK,4,11,Married,6
235,6256377,2,2,50,Germany,5,18,Married,7
236,6451750,1,1,45,Ireland,2,18,Married,4
237,6400540,3,2,3,US,0,99,Single,9
238,6472656,3,1,5,US,0,99,Single,5
239,6242141,3,1,18,Germany,0,99,Single,5
240,6384104,3,1,4,US,0,99,Single,9
241,6301754,2,2,57,Germany,0,99,Married,2
242,6224944,1,1,35,Ireland,4,12,Married,6
243,6221444,3,2,15,Italy,0,99,Single,6
244,6421359,1,2,31,Ireland,0,99,Single,1
245,6371562,9,1,10,US,0,99,Single,9
246,6360527,3,2,15,US,0,99,Single,4
247,6428464,3,1,18,US,0,99,Single,8
248,6272492,1,1,38,Ireland,2,5,Married,4
249,6445538,1,1,35,Others,4,9,Married,9
250,6458571,3,1,8,US,0,99,Single,7
251,6405901,2,2,60,Germany,2,15,Married,4
252,6311302,12,2,45,Ireland,0,99,Married,1
253,6210885,3,1,6,US,0,99,Single,7
254,6348627,2,2,29,Ireland,3,4,Married,6
255,6449380,1,1,35,Others,0,99,Married,2
256,6380754,2,2,28,Ireland,4,7,Married,8
257,6332746,3,1,21,Ireland,0,99,Single,6
258,6378900,3,2,17,US,0,99,Single,4
259,6229431,12,2,40,US,0,99,Married,2
260,6427618,3,2,18,US,0,99,Single,5
261,6363220,1,1,56,Ireland,2,21,Married,4
262,6259996,1,1,50,Ireland,3,10,Married,5
263,6284222,3,1,5,US,0,99,Single,7
264,6255365,2,2,58,Ireland,0,99,Married,2
265,6432314,3,2,7,US,0,99,Single,12
266,6276337,12,1,38,Germany,0,99,Single,1
267,6366930,3,1,3,US,0,99,Single,4
268,6453534,8,1,25,Ireland,0,99,Single,8
269,6284659,2,2,31,US,1,4,Married,3
270,6252014,1,1,36,Germany,4,25,Married,6
271,6239516,3,1,9,US,0,99,Single,4
272,6255456,1,1,22,Others,0,99,Married,2
273,6318752,1,1,24,Germany,2,4,Married,4
274,6434236,3,1,27,US,0,99,Single,5
275,6211872,2,2,22,Ireland,3,15,Married,5
276,6440917,1,1,61,Ireland,5,34,Divorced/widowed,6
277,6317628,3,1,7,US,0,99,Single,4
278,6398834,2,2,22,US,2,25,Married,4
279,6321634,2,2,22,Others,0,99,Married,2
280,6356533,2,2,45,Germany,5,21,Married,7
281,6423669,3,1,17,US,0,99,Single,10
282,6269356,1,2,33,Ireland,0,99,Single,1
283,6424942,3,1,0,US,0,99,Single,3
284,6238057,3,1,40,Ireland,0,99,Single,9
285,6288268,2,2,35,US,2,12,Married,5
286,6306969,3,2,26,US,0,99,Single,3
287,6210185,2,2,23,Others,3,6,Married,5
288,6228176,8,2,26,US,0,99,Single,4
289,6259612,3,2,5,US,0,99,Single,7
290,6327484,2,2,25,US,2,5,Married,4
291,6451692,3,2,8,US,0,99,Single,9
292,6405730,3,1,20,US,0,99,Single,11
293,6441691,3,2,17,US,0,99,Single,3
294,6332750,3,1,27,US,0,99,Single,5
295,6249831,3,1,19,US,0,99,Single,2
296,6385533,3,2,20,US,0,99,Single,5
297,6266876,1,1,27,US,1,3,Married,6
298,6203633,3,1,17,US,0,99,Single,7
299,6291330,3,2,12,US,0,99,Single,3
300,6372546,3,1,20,Ireland,0,99,Single,4
301,6376098,3,2,5,US,0,99,Single,6
302,6339696,3,2,11,US,0,99,Single,9
303,6230400,1,1,44,Germany,3,25,Married,5
304,6426756,3,1,17,Germany,0,99,Single,5
305,6383650,3,2,13,US,0,99,Single,7
306,6329146,3,2,21,US,0,99,Single,9
307,6262824,12,1,30,Italy,0,99,Single,1
308,6437755,2,2,47,Ireland,3,15,Married,5
309,6271331,12,2,37,Ireland,0,99,Single,1
310,6390936,2,2,26,US,2,4,Married,4
311,6228855,1,1,56,Germany,3,28,Married,5
312,6377737,1,1,31,Others,4,16,Married,6
313,6331375,3,1,4,US,0,99,Single,2
314,6471087,2,2,38,Ireland,1,16,Married,3
315,6424926,3,2,2,US,0,99,Single,5
316,6252773,3,1,22,US,0,99,Single,2
317,6338710,12,2,25,Others,0,99,Married,2
318,6250151,3,2,16,US,0,99,Single,6
319,6375838,2,2,38,US,3,16,Married,5
320,6238375,3,2,5,US,0,99,Single,5
321,6462665,3,1,32,US,0,99,Single,8
322,6336852,12,2,30,US,0,99,Single,1
323,6468092,2,2,23,Others,2,3,Married,5
324,6241254,1,1,23,US,0,99,Single,2
325,6301854,3,2,10,US,0,99,Single,3
326,6403650,7,2,26,US,0,99,Single,5
327,6470990,2,2,30,Ireland,4,9,Married,6
328,6295919,3,1,11,US,0,99,Single,5
329,6441949,3,1,2,US,0,99,Single,4
330,6279165,3,2,4,US,0,99,Single,4
331,6395505,2,2,35,Germany,1,2,Married,3
332,6349772,3,1,8,US,0,99,Single,10
333,6379710,3,2,4,US,0,99,Single,6
334,6275041,2,2,46,Germany,9,27,Married,11
335,6398117,3,1,0,US,0,99,Single,9
336,6241787,3,2,14,US,0,99,Single,7
337,6226640,12,1,27,US,0,99,Single,1
338,6459236,1,1,41,Germany,2,13,Married,4
339,6392541,2,2,31,Ireland,0,99,Married,2
340,6245425,12,1,50,US,0,99,Single,1
341,6295479,1,1,52,Germany,2,27,Married,4
342,6235603,3,2,20,US,0,99,Single,3
343,6476874,3,1,5,US,0,99,Single,7
344,6322172,1,1,45,Others,9,22,Married,12
345,6376401,3,1,8,US,0,99,Single,7
346,6324440,3,2,22,Germany,0,99,Single,7
347,6432245,12,2,26,Ireland,0,99,Single,1
348,6219942,3,2,8,Germany,0,99,Single,7
349,6238946,3,2,14,US,0,99,Single,3
350,6209437,12,1,19,Ireland,0,99,Single,1
351,6445842,2,2,42,Ireland,4,8,Married,6
352,6466100,12,1,26,US,0,99,Single,1
353,6388783,12,1,30,Others,0,99,Single,1
354,6392869,3,1,9,US,0,99,Single,7
355,6295855,3,2,17,US,0,99,Single,4
356,6409120,1,1,11,US,0,99,Single,1
357,6453861,3,2,21,Ireland,0,99,Single,6
358,6241358,3,1,9,US,0,99,Single,2
359,6248549,1,1,38,Others,6,10,Married,8
360,6297957,12,2,19,US,0,99,Single,1
361,6367754,1,2,30,UK,1,22,Divorced/widowed,2
362,6346278,3,1,0,US,0,99,Single,4
363,6261632,1,1,40,Others,1,5,Married,3
364,6446961,2,2,26,US,7,9,Married,9
365,6465995,2,2,41,Germany,2,15,Married,4
366,6411281,3,1,5,US,0,99,Single,9
367,6259201,2,2,42,Germany,1,14,Married,3
368,6270326,1,2,50,Ireland,0,99,Divorced/widowed,4
369,6248485,1,1,26,Italy,0,99,Married,2
370,6378763,7,1,43,US,0,99,Single,9
371,6263722,3,1,13,US,0,99,Single,8
372,6410220,3,1,0,US,0,99,Single,5
373,6206629,1,1,36,Ireland,2,7,Married,4
374,6250804,12,2,33,Others,0,99,Divorced/widowed,1
375,6291969,3,2,21,US,0,99,Single,10
376,6337373,10,1,21,US,0,99,Single,7
377,6293306,3,1,19,US,0,99,Single,10
378,6363015,1,1,39,Germany,9,18,Married,11
379,6257665,1,1,34,Germany,4,12,Married,6
380,6427723,12,2,40,Ireland,0,99,Single,1
381,6321725,1,2,44,Others,6,20,Divorced/widowed,7
382,6357255,12,1,5,US,0,99,Single,3
383,6201112,12,2,19,Others,0,99,Single,1
384,6370666,3,1,15,US,0,99,Single,8
385,6251520,7,2,26,Germany,0,99,Married,12
386,6373563,3,1,7,US,0,99,Single,8
387,6229400,2,2,38,Others,2,22,Married,6
388,6294324,1,1,24,US,1,7,Married,4
389,6458945,11,1,52,UK,3,20,Married,5
390,6422687,1,2,33,Ireland,0,99,Single,1
391,6294407,12,1,24,US,0,99,Married,1
392,6289958,3,2,3,US,0,99,Single,6
393,6293329,3,2,16,US,0,99,Single,7
394,6292842,3,2,45,US,1,20,Divorced/widowed,6
395,6296714,3,2,14,US,0,99,Single,7
396,6242249,12,1,12,US,0,99,Single,4
397,6219672,3,1,13,Germany,0,99,Single,4
398,6266077,1,1,67,US,4,30,Divorced/widowed,5
399,6219259,12,1,21,Ireland,0,99,Single,1
400,6462771,1,2,50,US,2,30,Divorced/widowed,7
401,6219317,3,2,14,US,0,99,Single,10
402,6356789,3,1,7,US,0,99,Single,8
403,6373956,3,2,17,US,0,99,Single,6
404,6442426,2,2,21,US,1,1,Married,3
405,6468718,8,2,70,Ireland,0,99,Married,8
406,6398115,3,2,8,US,0,99,Single,7
407,6236811,7,2,18,US,0,99,Single,4
408,6266617,13,1,61,Ireland,0,99,Single,1
409,6384085,1,1,62,Germany,3,27,Married,5
410,6370561,3,2,10,US,0,99,Single,5
411,6259960,2,2,29,US,0,99,Married,4
412,6214644,3,2,11,US,0,99,Single,4
413,6343573,3,1,19,US,0,99,Single,10
414,6258833,3,1,2,US,0,99,Single,4
415,6384635,1,2,44,Ireland,4,23,Divorced/widowed,5
416,6405952,13,2,24,Ireland,0,99,Single,1
417,6438169,1,1,33,US,0,99,Married,3
418,6367717,10,2,23,US,0,99,Single,5
419,6452650,5,1,55,US,1,29,Married,7
420,6228432,12,1,2,Others,0,99,Single,1
421,6417193,3,1,35,US,0,99,Single,3
422,6475832,3,1,1,US,0,99,Single,6
423,6462349,1,1,33,Ireland,0,99,Married,2
424,6347348,2,2,40,Ireland,3,23,Married,5
425,6292185,3,1,10,US,0,99,Single,6
426,6229342,3,2,14,US,0,99,Single,13
427,6229123,12,2,30,US,0,99,Divorced/widowed,4
428,6301419,2,2,21,Germany,0,99,Married,2
429,6328468,6,1,54,Ireland,1,28,Divorced/widowed,3
430,6331736,3,2,9,US,0,99,Single,7
431,6290847,3,2,1,US,0,99,Single,4
432,6206213,3,1,10,US,0,99,Single,4
433,6297943,3,1,20,Others,0,99,Single,7
434,6238584,3,2,2,US,0,99,Single,5
435,6260654,12,1,30,US,0,99,Single,1
436,6307906,1,2,55,Others,5,25,Divorced/widowed,6
437,6389770,3,2,16,US,0,99,Single,8
438,6333224,4,1,57,US,2,31,Married,7
439,6323054,3,1,8,US,0,99,Single,7
440,6221949,3,2,18,US,0,99,Single,2
441,6221957,3,2,18,US,0,99,Single,8
442,6445593,2,2,24,US,2,2,Married,5
443,6388816,3,1,12,US,0,99,Single,7
444,6374132,3,2,17,UK,0,99,Single,4
445,6326215,3,2,10,US,0,99,Single,6
446,6412356,3,1,23,US,0,99,Single,9
447,6448100,1,1,50,Ireland,7,25,Married,10
448,6280327,3,1,22,Germany,0,99,Single,8
449,6428508,3,2,24,US,0,99,Single,4
450,6412025,9,1,1,US,0,99,Single,8
451,6460884,1,1,43,Germany,5,17,Married,8
452,6319467,2,2,43,Germany,0,99,Married,2
453,6457746,13,1,30,Ireland,0,99,Married,1
454,6258095,12,1,38,Others,0,99,Single,1
455,6297407,3,2,15,US,0,99,Single,7
456,6449351,3,1,9,Others,0,99,Single,7
457,6414225,3,2,8,US,0,99,Single,6
458,6367169,3,1,3,US,0,99,Single,8
459,6225324,1,1,27,Ireland,0,99,Married,2
460,6369484,3,1,0,US,0,99,Single,3
461,6275036,1,1,34,Germany,2,4,Married,4
462,6249936,1,1,50,Others,4,20,Married,6
463,6251488,3,1,0,US,0,99,Single,4
464,6374793,1,2,56,Germany,3,26,Divorced/widowed,4
465,6264500,3,1,25,US,0,99,Single,6
466,6217928,2,2,46,Others,5,29,Married,7
467,6229516,10,1,24,US,0,99,Single,5
468,6403914,3,2,12,US,0,99,Single,6
469,6347957,3,1,15,US,0,99,Single,8
470,6423103,3,2,1,US,0,99,Single,7
471,6237104,1,1,33,US,4,10,Married,6
472,6449379,2,2,27,Others,1,2,Married,3
473,6255139,3,1,3,US,0,99,Single,7
474,6322834,3,1,10,Others,0,99,Single,7
475,6248311,12,1,36,Others,0,99,Single,1
476,6452405,3,1,10,US,0,99,Single,7
477,6236963,2,2,38,Germany,2,19,Married,4
478,6234265,1,1,50,Ireland,2,8,Married,4
479,6465762,2,2,40,US,7,26,Married,10
480,6414667,3,2,1,US,0,99,Single,3
481,6426987,1,1,24,US,0,99,Married,6
482,6414447,2,2,45,Germany,0,99,Married,2
483,6266204,1,2,43,US,1,21,Divorced/widowed,2
484,6274430,3,1,0,US,0,99,Single,9
485,6370010,3,2,18,US,0,99,Single,11
486,6394362,1,1,54,Ireland,4,16,Married,6
487,6242854,2,2,23,US,0,99,Married,2
488,6380237,2,2,36,Ireland,3,12,Married,5
489,6366142,1,1,65,US,7,27,Married,9
490,6397317,1,1,39,US,0,99,Single,2
491,6334548,6,2,50,US,1,22,Divorced/widowed,6
492,6238683,3,2,4,US,0,99,Single,3
493,6226342,1,1,30,Italy,0,99,Married,2
494,6356149,3,2,3,US,0,99,Single,5
495,6337508,3,2,1,US,0,99,Single,8
496,6391195,3,1,10,US,0,99,Single,9
497,6310320,3,1,17,US,0,99,Single,4
498,6383746,2,2,34,US,4,8,Married,10
499,6340918,3,1,18,US,0,99,Single,7
500,6283916,8,1,16,US,0,99,Single,7
501,6317680,3,2,11,UK,0,99,Single,4
502,6349893,2,2,32,Germany,2,8,Married,5
503,6342695,2,2,32,Germany,4,10,Married,6
504,6441839,3,2,16,US,0,99,Single,6
505,6358440,3,1,22,US,0,99,Single,6
506,6313879,2,2,38,US,1,15,Married,3
507,6342760,3,1,30,US,0,99,Single,4
508,6305644,2,2,22,US,1,0,Married,3
509,6271226,1,1,73,US,2,36,Married,3
510,6352120,1,1,35,Germany,2,4,Married,4
511,6278044,3,1,1,US,0,99,Single,3
512,6374951,3,2,1,US,0,99,Single,6
513,6319626,2,2,38,Germany,4,7,Married,6
514,6280412,3,1,2,US,0,99,Single,6
515,6312584,7,1,39,US,0,99,Divorced/widowed,4
516,6223601,3,1,2,Italy,0,99,Single,3
517,6474126,1,2,53,UK,2,22,Divorced/widowed,3
518,6219161,1,1,32,US,0,99,Married,3
519,6204998,12,2,23,US,0,99,Single,1
520,6477136,10,1,55,Ireland,0,99,Divorced/widowed,13
521,6205341,12,2,23,Ireland,0,99,Single,1
522,6218519,10,1,23,Ireland,0,99,Single,3
523,6474843,3,1,23,US,0,99,Single,4
524,6206940,12,1,27,Germany,0,99,Single,1
525,6347178,1,1,40,Ireland,1,21,Married,3
526,6270719,1,1,24,US,0,99,Single,7
527,6281401,3,1,2,US,0,99,Single,7
528,6459766,1,1,38,Ireland,4,9,Married,7
529,6408666,10,1,8,US,0,99,Single,7
530,6339582,2,2,29,Germany,0,99,Married,2
531,6210296,3,1,28,Ireland,0,99,Single,3
532,6443379,13,2,19,US,0,99,Single,1
533,6277857,1,1,55,Others,1,18,Married,3
534,6416719,3,1,2,US,0,99,Single,5
535,6351686,3,1,0,US,0,99,Single,9
536,6327548,2,2,50,Germany,6,19,Married,8
537,6318574,3,1,18,US,1,1,Single,4
538,6460237,3,1,10,US,0,99,Single,5
539,6313240,3,1,9,US,0,99,Single,7
540,6465615,3,1,2,US,0,99,Single,4
541,6454052,2,2,24,Germany,2,2,Married,4
542,6251570,3,1,15,US,0,99,Single,7
543,6362184,3,1,7,US,0,99,Single,7
544,6367087,3,1,11,US,0,99,Single,4
545,6200967,12,1,32,Ireland,0,99,Single,1
546,6476164,3,1,19,US,0,99,Single,5
547,6355942,2,2,41,Germany,9,20,Married,11
548,6356470,1,1,35,US,3,5,Married,6
549,6227940,3,2,19,US,0,99,Single,5
550,6466078,12,1,4,UK,0,99,Single,3
551,6328935,10,2,45,Ireland,0,99,Single,7
552,6414720,2,2,24,US,3,5,Married,5
553,6240452,3,2,17,US,0,99,Single,3
554,6454809,2,2,26,Ireland,1,4,Married,3
555,6434708,3,2,7,US,0,99,Single,10
556,6249720,3,1,3,US,0,99,Single,5
557,6354242,3,1,12,US,0,99,Single,8
558,6358122,3,2,4,US,0,99,Single,5
559,6321212,3,2,9,US,0,99,Single,7
560,6236931,2,2,28,US,3,6,Married,5
561,6359864,3,2,21,US,0,99,Single,5
562,6218010,1,1,55,Ireland,0,99,Married,2
563,6395784,2,2,45,Germany,4,22,Married,6
564,6270991,7,2,24,Ireland,0,99,Single,13
565,6220354,1,1,31,US,1,1,Married,3
566,6325662,1,1,34,Germany,4,11,Married,6
567,6465612,3,1,16,US,0,99,Single,8
568,6405210,3,2,2,US,0,99,Single,5
569,6307555,2,2,47,Germany,3,23,Married,5
570,6455908,1,1,42,Germany,2,13,Married,4
571,6403933,3,2,16,US,0,99,Single,5
572,6237005,2,2,38,US,0,99,Married,3
573,6308627,12,2,40,Others,0,99,Married,1
574,6257904,1,1,32,Germany,0,99,Divorced/widowed,1
575,6315439,2,2,45,Ireland,0,99,Married,2
